,ID,STATION_NAME,RIVER_BASIN,COUNTY,LONGITUDE,LATITUDE,ELEVATION,OPERATOR
0,6SI,TULARE PRECIPITATION INDEX,TULARE LAKE,TULARE,-118.702,36.288,0,CA Dept of Water Resources/Snow Surveys
1,8SI,NORTHERN SIERRA 8-STATION PRECIP INDEX,SACRAMENTO R,PLUMAS,-120.9,39.9,0,CA Dept of Water Resources/Flood Management
2,ADR,AUBURN DAM RIDGE,AMERICAN R,PLACER,-121.045,38.882,1200,US Bureau of Reclamation
3,ADS,ALDER SPRINGS NEAR ELK CREEK,STONY CR,GLENN,-122.725,39.65,4500,US Forest Service
4,AGW,A.G. WISHON (PG&E),SAN JOAQUIN R,MERCED,-119.505,37.151,1000,Pacific Gas & Electric
5,ALS,ALDER SPRINGS (USACE),STONY CR,GLENN,-122.725,39.65,4500,US Army Corps of Engineers
6,ALT,ALTURAS RS,PIT R,MODOC,-120.55,41.5,4400,US Forest Service
7,ALY,ALLEGHANY,YUBA R,SIERRA,-120.875,39.47,4957,CA Dept of Water Resources/Operations and Maintenance
8,ANG,ANGWIN,NAPA R,NAPA,-122.4332,38.5712,1815,CA Dept of Water Resources/Flood Management
9,ANT,ANTELOPE LAKE,FEATHER R,PLUMAS,-120.607,40.18,4960,CA Dept of Water Resources/O&M Oroville Field Division
10,ANU,ARGONAUT DAM CA ARB RAWS,MOKELUMNE R,AMADOR,-120.7902,38.3536,1513,CA Air Resources Board
11,API,ALPINE,SAN DIEGO R,SAN DIEGO,-116.739,32.834,2041,US Forest Service
12,ARS,ARROWHEAD SPRINGS HOTEL,LYTLE CR,SAN BERNARDINO,-117.264,34.184,2000,.None Specified
13,ARW,ARDEN WAY,AMERICAN R,SACRAMENTO,-121.413,38.596,35,Sacramento County
14,ARY,ARROYO SECO,SALINAS R,MONTEREY,-121.488,36.23,980,US Forest Service
15,ASM,ASH MOUNTAIN,KAWEAH R,TULARE,-118.833,36.483,1708,Sequoia and Kings Canyon National Parks
16,ATL,ATLAS PEAK,NAPA R,NAPA,-122.248333,38.428333,1660,CA Dept of Water Resources/Flood Management
17,ATW,ATWELL CAMP,KAWEAH R,TULARE,-118.631,36.464,6400,US Army Corps of Engineers
18,BAL,BALCH PH (PG&E),KINGS R,FRESNO,-119.089,36.909,1720,Pacific Gas & Electric
19,BAP,BYRON AIRPORT,DELTA,CONTRA COSTA,-121.6225,37.8306,43,Contra Costa County
20,BAR,BEAR,MERCED R,MARIPOSA,-120.217,37.367,319,US Army Corps of Engineers
21,BCH,BEACH MEADOWS,KERN R,TULARE,-118.293457,36.126095,7650,CA Dept of Water Resources/Snow Surveys
22,BCM,BRUSH CREEK (DWR-2),FEATHER R,BUTTE,-121.34,39.694,3560,CA Dept of Water Resources
23,BCR,BRUSH CREEK RS,FEATHER R,BUTTE,-121.34,39.69,3520,US Forest Service
24,BDC,BOULDER CREEK,SAN LORENZO R,SANTA CRUZ,-122.163,37.142,800,Santa Cruz County
25,BDD,BIG DALTON DAM,SAN GABRIEL R,LOS ANGELES,-117.808,34.17,1587,.None Specified
